xlength,vel,fren,marcha,revact,comb,xtime
6805,16,114,6,863,1.5,197
6847,159,57,5,5390,1.0,198
6873,146,50,1,5084,0.5,199
6909,144,16,-1,5,0.0,200
6950,195,24,-1,6918,-0.5,201
6996,57,79,-1,2815,-1.0,202
7020,8,32,0,4566,-1.5,203
7065,119,47,1,2202,-2.0,204
7114,61,50,4,7093,-2.5,205
7151,27,147,2,4837,-3.0,206
7171,137,163,5,6793,-3.5,207
7194,57,24,6,7666,-4.0,208
7219,33,172,3,197,-4.5,209
7244,97,46,-1,6579,-5.0,210
7293,35,176,2,1648,-5.5,211
7343,37,25,1,123,-6.0,212
7385,125,170,1,1220,-6.5,213
7434,52,145,1,6681,-7.0,214
7455,196,146,3,7568,-7.5,215
7489,40,142,-1,7201,-8.0,216
7523,14,97,0,6757,-8.5,217
7556,148,98,0,115,-9.0,218
7579,69,76,-1,2718,-9.5,219
7600,180,119,-1,905,-10.0,220
7642,114,127,-1,5690,-10.5,221
7675,75,28,6,5535,-11.0,222
7704,70,60,5,1452,-11.5,223
7731,57,17,6,1299,-12.0,224
7778,196,109,0,844,-12.5,225
7799,22,7,3,2087,-13.0,226
7830,80,32,4,6850,-13.5,227
7869,199,26,4,2300,-14.0,228
7918,162,13,0,7919,-14.5,229
7954,189,80,3,4962,-15.0,230
7980,106,1,4,7684,-15.5,231
8029,117,83,1,5683,-16.0,232
8075,101,169,4,6570,-16.5,233
8109,135,170,2,4614,-17.0,234
8159,6,155,5,852,-17.5,235
8204,153,99,0,5512,-18.0,236
8232,193,38,3,7477,-18.5,237
8260,30,47,1,6419,-19.0,238
8292,84,90,0,7785,-19.5,239
8315,38,17,6,7185,-20.0,240
8363,133,99,2,1842,-20.5,241
8396,33,101,3,4867,-21.0,242
8427,184,180,1,4438,-21.5,243
8457,192,5,-1,7138,-22.0,244
8492,71,37,6,6244,-22.5,245
8530,21,6,5,2213,-23.0,246
8567,187,72,4,3326,-23.5,247
8592,40,28,0,7081,-24.0,248
8636,32,56,5,7909,-24.5,249
8657,137,100,6,1050,-25.0,250
8688,124,12,6,5375,-25.5,251
8715,167,81,-1,6219,-26.0,252
8735,170,98,-1,3748,-26.5,253
8767,124,127,2,6203,-27.0,254
8811,61,76,6,535,-27.5,255
8848,115,150,-1,1796,-28.0,256
8870,143,27,5,3187,-28.5,257
8902,24,149,0,4026,-29.0,258
8949,34,171,2,2281,-29.5,259
8976,167,149,-1,5152,-30.0,260
9010,92,171,-1,7053,-30.5,261
9039,105,65,1,7238,-31.0,262
9077,85,53,-1,2069,-31.5,263
9107,139,136,-1,223,-32.0,264
9129,83,10,5,3538,-32.5,265
9156,180,112,2,3905,-33.0,266
9204,36,129,5,7936,-33.5,267
9253,184,41,4,5580,-34.0,268
9296,65,156,2,3024,-34.5,269
9336,37,161,0,7906,-35.0,270
9382,192,24,6,1504,-35.5,271
9423,199,44,5,4361,-36.0,272
9461,88,143,5,481,-36.5,273
9494,82,90,0,544,-37.0,274
9537,80,63,1,6033,-37.5,275
9568,46,112,5,6604,-38.0,276
9593,151,0,4,1750,-38.5,277
9614,60,8,5,5980,-39.0,278
9644,3,147,-1,4646,-39.5,279
9692,42,96,2,293,-40.0,280
9727,137,60,4,2779,-40.5,281
9761,45,97,3,848,-41.0,282
9805,191,116,3,2380,-41.5,283
9847,133,6,3,913,-42.0,284
9882,109,29,1,4453,-42.5,285
9921,126,27,-1,4809,-43.0,286
9952,78,129,5,6378,-43.5,287
9975,69,54,1,7252,-44.0,288
10001,95,83,-1,3350,-44.5,289
10051,46,66,-1,4914,-45.0,290
10081,144,145,5,1316,-45.5,291
10131,109,66,0,2177,-46.0,292
10181,120,91,-1,5543,-46.5,293
10201,58,155,1,2209,-47.0,294
10242,127,127,5,4739,-47.5,295
10277,93,112,4,4552,-48.0,296
10316,100,69,4,1150,-48.5,297
10361,28,98,0,6897,-49.0,298
10385,190,15,2,615,-49.5,299
10431,78,75,2,6801,-50.0,300
10469,170,83,0,4465,-50.5,301
10518,33,120,-1,60,-51.0,302
10550,46,26,4,5654,-51.5,303
10580,144,7,5,3259,-52.0,304
10610,16,5,0,2188,-52.5,305
10649,68,153,2,4250,-53.0,306
10683,2,90,6,2878,-53.5,307
10705,155,47,1,7518,-54.0,308
10744,56,68,2,1389,-54.5,309
10785,101,157,5,1469,-55.0,310
10823,99,84,-1,5687,-55.5,311
10856,18,94,-1,1321,-56.0,312
10881,120,156,0,6947,-56.5,313
10917,81,86,5,2749,-57.0,314
10954,155,105,5,5745,-57.5,315
10994,70,18,5,4140,-58.0,316
11031,196,45,0,5547,-58.5,317
11072,77,67,-1,4104,-59.0,318
11114,12,78,4,2647,-59.5,319
11158,114,82,4,2610,-60.0,320
11190,86,43,-1,1438,-60.5,321
11220,176,115,3,2193,-61.0,322
11261,40,63,-1,60,-61.5,323
11297,31,73,5,2964,-62.0,324
11332,180,158,3,3835,-62.5,325
11358,71,178,0,15,-63.0,326
11381,186,32,6,917,-63.5,327
11408,138,42,4,1374,-64.0,328
11454,181,180,-1,1689,-64.5,329
11482,146,78,2,5500,-65.0,330
11515,138,12,1,249,-65.5,331
11562,23,154,5,4097,-66.0,332
11605,92,168,2,3591,-66.5,333
11655,145,174,1,5678,-67.0,334
11686,117,99,2,1155,-67.5,335
11709,92,158,2,171,-68.0,336
11741,165,89,0,7537,-68.5,337
11769,200,156,3,6227,-69.0,338
11801,145,64,6,7546,-69.5,339
11829,3,83,4,6977,-70.0,340
11863,171,158,6,176,-70.5,341
11911,49,75,4,5023,-71.0,342
11957,123,2,4,817,-71.5,343
12002,96,61,1,5022,-72.0,344
12052,85,180,-1,7113,-72.5,345
12102,186,180,4,5705,-73.0,346
12149,104,24,-1,4160,-73.5,347
12186,15,15,1,3883,-74.0,348
12224,6,31,3,2970,-74.5,349
12256,155,108,3,2968,-75.0,350
12288,186,103,2,6116,-75.5,351
12326,21,58,4,4838,-76.0,352
12349,150,119,6,5133,-76.5,353
12382,144,139,2,183,-77.0,354
12424,126,108,5,4570,-77.5,355
12462,57,15,6,3301,-78.0,356
12508,101,88,6,2860,-78.5,357
12542,93,39,2,3498,-79.0,358
12565,150,19,5,2973,-79.5,359
12613,47,3,4,7453,-80.0,360
12658,146,37,2,5031,-80.5,361
12690,62,1,-1,22,-81.0,362
12716,157,93,-1,5918,-81.5,363
12760,158,22,2,7782,-82.0,364
12793,144,72,6,820,-82.5,365
12837,150,96,4,546,-83.0,366
12887,173,125,4,2123,-83.5,367
12934,13,48,4,7002,-84.0,368
12974,9,155,1,1624,-84.5,369
13022,44,21,6,2247,-85.0,370
13069,8,126,5,6206,-85.5,371
13109,28,137,1,4495,-86.0,372
13137,167,82,5,4631,-86.5,373
13176,8,130,-1,5279,-87.0,374
13196,172,153,5,7332,-87.5,375
13225,98,81,6,5575,-88.0,376
13253,118,95,5,2559,-88.5,377
13295,43,97,5,7200,-89.0,378
13336,13,138,6,268,-89.5,379
13367,123,165,5,1683,-90.0,380
13396,76,128,2,5296,-90.5,381
13419,5,9,3,6761,-91.0,382
13459,33,93,-1,1401,-91.5,383
13509,152,43,1,2380,-92.0,384
13545,135,72,2,3483,-92.5,385
13595,112,6,4,4458,-93.0,386
13631,0,101,3,3732,-93.5,387
13671,186,85,4,4786,-94.0,388
13703,57,88,4,2259,-94.5,389
13753,138,61,0,6068,-95.0,390
13784,130,120,4,1975,-95.5,391
13808,38,147,2,1320,-96.0,392
13854,33,45,5,4852,-96.5,393
13878,179,24,5,1857,-97.0,394
13920,95,56,6,2607,-97.5,395
13956,40,135,3,1029,-98.0,396
13994,175,156,3,5530,-98.5,397
14017,177,121,3,7285,-99.0,398
14063,26,159,2,4414,-99.5,399
14101,37,128,-1,899,-100.0,400
14129,35,77,4,7398,-100.5,401
14166,9,115,5,733,-101.0,402
14212,66,65,0,1111,-101.5,403
14250,115,42,5,3939,-102.0,404
14284,106,69,0,4832,-102.5,405
14332,142,124,5,3212,-103.0,406
14369,70,147,6,3674,-103.5,407
14416,50,16,0,1868,-104.0,408
14438,156,53,-1,5711,-104.5,409
14481,158,23,5,3682,-105.0,410
14519,4,153,-1,1690,-105.5,411
14544,146,29,4,7078,-106.0,412
14583,45,8,6,6581,-106.5,413
14628,126,67,3,3115,-107.0,414
14661,92,90,3,4679,-107.5,415
14700,34,166,0,1998,-108.0,416
14723,36,23,-1,3441,-108.5,417
14757,14,81,1,4310,-109.0,418
14793,27,111,4,656,-109.5,419
14842,191,100,5,3032,-110.0,420
14879,57,173,4,4864,-110.5,421
14903,177,169,2,4395,-111.0,422
14950,117,80,3,3740,-111.5,423
14973,133,44,-1,7062,-112.0,424
14997,16,161,6,2062,-112.5,425
15043,140,111,-1,1131,-113.0,426
15079,0,96,4,7267,-113.5,427
15108,94,159,-1,6912,-114.0,428
15148,98,83,0,1242,-114.5,429
15173,37,142,4,5212,-115.0,430
15210,185,40,3,6071,-115.5,431
15232,34,76,3,5137,-116.0,432
15279,26,95,2,1128,-116.5,433
15308,166,42,2,7380,-117.0,434
15358,56,119,5,4528,-117.5,435
15397,84,61,0,3745,-118.0,436
15434,43,47,2,5507,-118.5,437
15478,64,177,1,467,-119.0,438
15520,184,40,3,2779,-119.5,439
15544,33,176,6,4312,-120.0,440
15585,78,46,6,1341,-120.5,441
15623,47,180,0,5006,-121.0,442
15650,28,53,5,1440,-121.5,443
15672,117,158,1,3832,-122.0,444
15699,187,18,2,7224,-122.5,445
15729,156,103,5,4275,-123.0,446
15756,189,47,4,1518,-123.5,447
15783,54,179,1,3237,-124.0,448
15807,161,107,6,1928,-124.5,449
15828,108,167,6,7079,-125.0,450
15864,177,61,2,713,-125.5,451
15900,100,33,1,5001,-126.0,452
15930,168,128,5,3465,-126.5,453
15977,102,23,-1,7351,-127.0,454
16023,146,22,2,7218,-127.5,455
16066,135,67,0,7700,-128.0,456
16092,164,140,6,2543,-128.5,457
16128,64,22,3,1703,-129.0,458
16176,15,160,6,5277,-129.5,459
16205,98,53,0,30,-130.0,460
16250,129,146,1,1655,-130.5,461
16293,88,62,-1,6734,-131.0,462
16327,80,168,4,7905,-131.5,463
16376,195,42,1,3538,-132.0,464
16419,31,124,0,1982,-132.5,465
16467,5,29,5,327,-133.0,466
16503,70,126,2,7294,-133.5,467
16549,85,168,4,2310,-134.0,468
16585,40,173,0,6091,-134.5,469
16617,11,2,6,7428,-135.0,470
16639,92,2,6,3041,-135.5,471
16659,58,112,0,5820,-136.0,472
16702,82,119,6,3693,-136.5,473
16751,145,50,4,322,-137.0,474
16784,181,47,3,3470,-137.5,475
16821,48,159,0,6095,-138.0,476
16870,154,8,2,1526,-138.5,477
16913,59,132,0,2161,-139.0,478
16953,84,132,6,2043,-139.5,479
16994,91,90,1,7687,-140.0,480
17017,15,156,5,4644,-140.5,481
17046,107,113,6,3349,-141.0,482
17090,62,44,6,4799,-141.5,483
17112,131,110,6,2970,-142.0,484
17159,132,69,5,2490,-142.5,485
17205,1,25,5,4137,-143.0,486
17242,22,69,5,5403,-143.5,487
17290,32,74,5,5893,-144.0,488
17321,164,85,2,3760,-144.5,489
17353,110,143,5,7063,-145.0,490
17393,135,11,-1,6543,-145.5,491
17440,176,138,6,1441,-146.0,492
17465,103,179,3,171,-146.5,493
17504,15,83,1,3429,-147.0,494
17544,180,116,5,4146,-147.5,495
17567,146,166,5,5501,-148.0,496
17595,61,122,6,2539,-148.5,497
17622,31,142,4,7602,-149.0,498
17670,88,107,5,1811,-149.5,499
17695,152,74,1,4842,-150.0,500
17741,109,89,0,7963,-150.5,501
17771,63,21,6,3690,-151.0,502
17809,86,72,2,1344,-151.5,503
17835,134,74,-1,6002,-152.0,504
17857,196,120,4,2958,-152.5,505
17893,173,157,0,5751,-153.0,506
17941,6,143,-1,1212,-153.5,507
17990,28,106,1,7098,-154.0,508
18025,121,64,1,6708,-154.5,509
18049,69,146,1,4918,-155.0,510
18077,60,174,-1,4782,-155.5,511
18103,29,134,-1,670,-156.0,512
18142,105,79,3,2933,-156.5,513
18185,80,54,0,1576,-157.0,514
18212,17,95,1,7659,-157.5,515
18254,121,162,2,4935,-158.0,516
18289,171,24,-1,6366,-158.5,517
18317,72,159,0,1148,-159.0,518
18341,112,32,-1,4367,-159.5,519
18376,99,4,0,3344,-160.0,520
18400,144,59,5,1354,-160.5,521
18442,43,80,3,773,-161.0,522
18486,26,106,1,4100,-161.5,523
18526,102,33,5,7802,-162.0,524
18559,175,133,-1,5070,-162.5,525
18606,108,5,3,5341,-163.0,526
18633,13,112,-1,486,-163.5,527
18674,157,126,3,5095,-164.0,528
18700,144,63,1,3685,-164.5,529
18729,26,30,0,326,-165.0,530
18776,1,128,5,5872,-165.5,531
18805,122,47,-1,2201,-166.0,532
18838,149,2,1,6182,-166.5,533
18859,25,24,4,300,-167.0,534
18881,106,39,5,2556,-167.5,535
18903,72,92,3,7699,-168.0,536
18950,142,9,-1,3472,-168.5,537
19000,58,44,-1,7661,-169.0,538
19026,82,144,2,7004,-169.5,539
19054,126,154,1,4527,-170.0,540
19083,161,60,3,5081,-170.5,541
19118,103,89,-1,6335,-171.0,542
19151,51,133,1,432,-171.5,543
19186,171,109,2,1531,-172.0,544
19234,69,131,2,2877,-172.5,545
19263,188,88,1,1082,-173.0,546
19313,6,42,-1,4046,-173.5,547
19360,195,158,5,2829,-174.0,548
19400,4,39,2,4665,-174.5,549
19426,145,80,-1,6196,-175.0,550
19449,57,171,0,5949,-175.5,551
19487,20,106,0,953,-176.0,552
19534,24,17,0,3733,-176.5,553
19559,84,43,6,228,-177.0,554
19592,52,160,3,6186,-177.5,555
19628,129,46,-1,4085,-178.0,556
19660,39,162,-1,3548,-178.5,557
19695,138,106,-1,7036,-179.0,558
19738,10,159,6,7091,-179.5,559
19787,150,124,1,7548,-180.0,560
19834,196,11,2,1741,-180.5,561
19856,114,122,6,3169,-181.0,562
19882,87,32,1,7797,-181.5,563
19918,187,0,3,483,-182.0,564
19950,136,85,4,2195,-182.5,565
20000,61,31,6,6026,-183.0,566
20023,78,104,5,3398,-183.5,567
20055,60,37,0,5475,-184.0,568
20083,121,123,6,4991,-184.5,569
20106,85,57,2,1456,-185.0,570
20156,97,75,-1,2129,-185.5,571
20178,120,131,1,3681,-186.0,572
20198,33,91,0,2541,-186.5,573
20237,168,155,-1,7011,-187.0,574
20272,12,176,4,6396,-187.5,575
20293,11,124,4,137,-188.0,576
20321,23,106,2,6111,-188.5,577
20364,8,98,1,6508,-189.0,578
20393,83,142,3,3074,-189.5,579
20424,164,66,-1,6957,-190.0,580
20454,149,58,4,7979,-190.5,581
20484,109,162,2,3768,-191.0,582
20510,40,3,0,3123,-191.5,583
20535,180,122,4,960,-192.0,584
20569,68,24,1,7979,-192.5,585
20597,149,65,6,7807,-193.0,586
20627,59,12,6,3506,-193.5,587
20655,149,167,4,3819,-194.0,588
20683,10,41,4,5685,-194.5,589
20715,186,41,5,1667,-195.0,590
20744,110,62,5,3622,-195.5,591
20764,111,152,-1,6134,-196.0,592
20792,158,68,3,4538,-196.5,593
20812,99,137,0,3368,-197.0,594
20837,145,115,1,7876,-197.5,595
20872,58,111,0,1439,-198.0,596
20914,183,80,5,3493,-198.5,597
20936,170,84,5,5733,-199.0,598
20977,54,18,0,1245,-199.5,599
21008,10,33,1,6908,-200.0,600
21034,63,133,3,7155,-200.5,601
21059,2,45,0,3855,-201.0,602
21091,98,122,4,4922,-201.5,603
21115,68,124,1,3307,-202.0,604
21158,26,37,4,5029,-202.5,605
21185,39,151,1,6164,-203.0,606
21220,153,152,0,1792,-203.5,607
21264,113,19,0,5209,-204.0,608
21285,76,75,-1,7625,-204.5,609
21324,163,157,4,7826,-205.0,610
21367,184,140,0,6656,-205.5,611
21391,124,92,2,3270,-206.0,612
21421,69,106,3,697,-206.5,613
21469,107,5,4,1326,-207.0,614
21493,11,97,-1,905,-207.5,615
21539,32,31,2,6940,-208.0,616
21581,3,13,0,5580,-208.5,617
21604,65,160,6,862,-209.0,618
21640,42,146,-1,5870,-209.5,619
21665,21,101,3,7614,-210.0,620
21697,58,149,3,2026,-210.5,621
21725,168,138,2,2175,-211.0,622
21747,12,12,3,1859,-211.5,623
21769,21,9,1,7465,-212.0,624
21809,62,130,0,7154,-212.5,625
21856,116,77,6,7010,-213.0,626
21896,74,106,3,3734,-213.5,627
21924,31,120,0,313,-214.0,628
21949,195,18,5,4813,-214.5,629
21981,85,36,0,3737,-215.0,630
22029,27,102,2,6001,-215.5,631
22074,80,83,4,3214,-216.0,632
22101,173,1,3,770,-216.5,633
22148,144,107,0,2361,-217.0,634
22172,198,180,0,508,-217.5,635
22199,182,110,2,5561,-218.0,636
22228,61,0,0,4420,-218.5,637
22254,95,101,2,5605,-219.0,638
22299,199,64,5,4415,-219.5,639
22336,110,35,-1,7982,-220.0,640
22364,149,158,4,1009,-220.5,641
22394,200,24,4,485,-221.0,642
22433,63,111,6,6274,-221.5,643
22455,140,176,1,4822,-222.0,644
22487,164,21,0,2061,-222.5,645
22532,67,137,1,4486,-223.0,646
22569,132,36,4,7819,-223.5,647
22592,49,85,4,6981,-224.0,648
22619,40,109,5,6723,-224.5,649
22652,105,173,6,1370,-225.0,650
22690,197,158,1,3222,-225.5,651
22724,162,56,1,7941,-226.0,652
22769,190,46,2,7052,-226.5,653
22805,82,66,-1,2932,-227.0,654
22849,12,121,6,4874,-227.5,655
22899,159,2,5,1878,-228.0,656
22923,123,35,5,1505,-228.5,657
22965,152,31,0,3970,-229.0,658
22993,89,161,-1,5915,-229.5,659
23040,119,111,4,6530,-230.0,660
23067,79,68,2,6118,-230.5,661
23106,138,68,4,4319,-231.0,662
23138,71,20,3,5288,-231.5,663
23175,101,123,2,5446,-232.0,664
23213,84,66,1,7607,-232.5,665
23236,33,114,3,6978,-233.0,666
23271,22,44,5,5528,-233.5,667
23310,169,71,3,1512,-234.0,668
23346,113,136,1,4002,-234.5,669
23389,75,149,5,1366,-235.0,670
23411,156,28,2,368,-235.5,671
23447,169,104,6,6660,-236.0,672
23478,87,38,4,1128,-236.5,673
23525,138,77,0,2471,-237.0,674
23557,30,45,0,6721,-237.5,675
23603,38,23,-1,2371,-238.0,676
23625,133,46,3,167,-238.5,677
23648,71,110,1,1804,-239.0,678
23692,76,9,-1,1888,-239.5,679
23720,168,98,6,1229,-240.0,680
23767,9,19,-1,7969,-240.5,681
23803,147,152,-1,734,-241.0,682
23828,151,177,-1,3651,-241.5,683
23876,123,120,2,6525,-242.0,684
23912,147,22,2,6410,-242.5,685
23933,154,58,4,7956,-243.0,686
23960,73,18,2,1873,-243.5,687
23983,166,84,4,2071,-244.0,688
24029,182,146,5,7870,-244.5,689
24072,23,72,5,6524,-245.0,690
24117,89,14,2,839,-245.5,691
24150,147,154,1,4279,-246.0,692
24172,86,143,5,1975,-246.5,693
24221,144,83,-1,5403,-247.0,694
24253,39,42,0,4818,-247.5,695
24275,94,26,3,852,-248.0,696
24301,37,132,5,4536,-248.5,697
24348,136,11,5,6804,-249.0,698
24372,52,42,4,3167,-249.5,699
24419,167,135,6,6005,-250.0,700
24454,148,76,4,3456,-250.5,701
24504,6,0,0,3971,-251.0,702
24525,37,143,1,4980,-251.5,703
24567,94,156,0,2939,-252.0,704
24591,198,154,0,5209,-252.5,705
24627,175,131,3,5283,-253.0,706
24656,66,119,5,5829,-253.5,707
24687,10,154,6,861,-254.0,708
24713,93,140,1,3976,-254.5,709
24735,71,126,0,522,-255.0,710
24759,123,116,2,1907,-255.5,711
24792,163,80,6,1873,-256.0,712
24813,34,121,1,4063,-256.5,713
24850,60,13,2,6263,-257.0,714
24884,27,113,5,2983,-257.5,715
24923,176,37,2,3119,-258.0,716
24943,2,113,5,1922,-258.5,717
24967,116,90,2,5246,-259.0,718
25008,105,171,5,5388,-259.5,719
25042,175,44,5,891,-260.0,720
25086,173,100,0,7992,-260.5,721
25117,4,110,6,6972,-261.0,722
25163,120,29,5,5285,-261.5,723
25200,180,174,0,4375,-262.0,724
25239,197,53,-1,112,-262.5,725
25277,135,36,6,3896,-263.0,726
25310,105,121,2,1294,-263.5,727
25343,101,61,0,6089,-264.0,728
25366,66,70,5,400,-264.5,729
25393,113,29,0,296,-265.0,730
25413,26,69,3,5452,-265.5,731
25455,115,42,0,7377,-266.0,732
25479,197,179,1,4694,-266.5,733
25505,37,31,-1,2799,-267.0,734
25534,174,44,3,7066,-267.5,735
25574,60,141,5,97,-268.0,736
25611,133,152,3,5300,-268.5,737
25640,117,102,-1,6988,-269.0,738
25690,14,47,6,5205,-269.5,739
25726,135,131,6,972,-270.0,740
25765,129,92,5,6427,-270.5,741
25804,95,43,3,3886,-271.0,742
25831,122,162,3,2880,-271.5,743
25871,25,105,3,3266,-272.0,744
25915,133,124,3,6086,-272.5,745
